Starting Integer: 2367634278637862836782367823253326537911
ODD: 1824509632221320501363788667172464413523 *3+1
EVEN: 5473528896663961504091366001517393240570 /2
ODD: 2736764448331980752045683000758696620285 *3+1
EVEN: 8210293344995942256137049002276089860856 /2
EVEN: 4105146672497971128068524501138044930428 /2
EVEN: 2052573336248985564034262250569022465214 /2
ODD: 1026286668124492782017131125284511232607 *3+1
EVEN: 3078860004373478346051393375853533697822 /2
ODD: 1539430002186739173025696687926766848911 *3+1
EVEN: 4618290006560217519077090063780300546734 /2
ODD: 2309145003280108759538545031890150273367 *3+1
EVEN: 6927435009840326278615635095670450820102 /2
ODD: 3463717504920163139307817547835225410051 *3+1
EVEN: 10391152514760489417923452643505676230154 /2
ODD: 5195576257380244708961726321752838115077 *3+1
EVEN: 15586728772140734126885178965258514345232 /2
EVEN: 7793364386070367063442589482629257172616 /2
EVEN: 3896682193035183531721294741314628586308 /2
EVEN: 1948341096517591765860647370657314293154 /2
ODD: 974170548258795882930323685328657146577 *3+1
EVEN: 2922511644776387648790971055985971439732 /2
EVEN: 1461255822388193824395485527992985719866 /2
ODD: 730627911194096912197742763996492859933 *3+1
EVEN: 2191883733582290736593228291989478579800 /2
EVEN: 1095941866791145368296614145994739289900 /2
EVEN: 547970933395572684148307072997369644950 /2
ODD: 273985466697786342074153536498684822475 *3+1
EVEN: 821956400093359026222460609496054467426 /2
ODD: 410978200046679513111230304748027233713 *3+1
EVEN: 1232934600140038539333690914244081701140 /2
EVEN: 616467300070019269666845457122040850570 /2
ODD: 308233650035009634833422728561020425285 *3+1
EVEN: 924700950105028904500268185683061275856 /2
EVEN: 462350475052514452250134092841530637928 /2
EVEN: 231175237526257226125067046420765318964 /2
EVEN: 115587618763128613062533523210382659482 /2
ODD: 57793809381564306531266761605191329741 *3+1
EVEN: 173381428144692919593800284815573989224 /2
EVEN: 86690714072346459796900142407786994612 /2
EVEN: 43345357036173229898450071203893497306 /2
ODD: 21672678518086614949225035601946748653 *3+1
EVEN: 65018035554259844847675106805840245960 /2
EVEN: 32509017777129922423837553402920122980 /2
EVEN: 16254508888564961211918776701460061490 /2
ODD: 8127254444282480605959388350730030745 *3+1
EVEN: 24381763332847441817878165052190092236 /2
EVEN: 12190881666423720908939082526095046118 /2
ODD: 6095440833211860454469541263047523059 *3+1
EVEN: 18286322499635581363408623789142569178 /2
ODD: 9143161249817790681704311894571284589 *3+1
EVEN: 27429483749453372045112935683713853768 /2
EVEN: 13714741874726686022556467841856926884 /2
EVEN: 6857370937363343011278233920928463442 /2
ODD: 3428685468681671505639116960464231721 *3+1
EVEN: 10286056406045014516917350881392695164 /2
EVEN: 5143028203022507258458675440696347582 /2
ODD: 2571514101511253629229337720348173791 *3+1
EVEN: 7714542304533760887688013161044521374 /2
ODD: 3857271152266880443844006580522260687 *3+1
EVEN: 11571813456800641331532019741566782062 /2
ODD: 5785906728400320665766009870783391031 *3+1
EVEN: 17357720185200961997298029612350173094 /2
ODD: 8678860092600480998649014806175086547 *3+1
EVEN: 26036580277801442995947044418525259642 /2
ODD: 13018290138900721497973522209262629821 *3+1
EVEN: 39054870416702164493920566627787889464 /2
EVEN: 19527435208351082246960283313893944732 /2
EVEN: 9763717604175541123480141656946972366 /2
ODD: 4881858802087770561740070828473486183 *3+1
EVEN: 14645576406263311685220212485420458550 /2
ODD: 7322788203131655842610106242710229275 *3+1
EVEN: 21968364609394967527830318728130687826 /2
ODD: 10984182304697483763915159364065343913 *3+1
EVEN: 32952546914092451291745478092196031740 /2
EVEN: 16476273457046225645872739046098015870 /2
ODD: 8238136728523112822936369523049007935 *3+1
EVEN: 24714410185569338468809108569147023806 /2
ODD: 12357205092784669234404554284573511903 *3+1
EVEN: 37071615278354007703213662853720535710 /2
ODD: 18535807639177003851606831426860267855 *3+1
EVEN: 55607422917531011554820494280580803566 /2
ODD: 27803711458765505777410247140290401783 *3+1
EVEN: 83411134376296517332230741420871205350 /2
ODD: 41705567188148258666115370710435602675 *3+1
EVEN: 125116701564444775998346112131306808026 /2
ODD: 62558350782222387999173056065653404013 *3+1
EVEN: 187675052346667163997519168196960212040 /2
EVEN: 93837526173333581998759584098480106020 /2
EVEN: 46918763086666790999379792049240053010 /2
ODD: 23459381543333395499689896024620026505 *3+1
EVEN: 70378144630000186499069688073860079516 /2
EVEN: 35189072315000093249534844036930039758 /2
ODD: 17594536157500046624767422018465019879 *3+1
EVEN: 52783608472500139874302266055395059638 /2
ODD: 26391804236250069937151133027697529819 *3+1
EVEN: 79175412708750209811453399083092589458 /2
ODD: 39587706354375104905726699541546294729 *3+1
EVEN: 118763119063125314717180098624638884188 /2
EVEN: 59381559531562657358590049312319442094 /2
ODD: 29690779765781328679295024656159721047 *3+1
EVEN: 89072339297343986037885073968479163142 /2
ODD: 44536169648671993018942536984239581571 *3+1
EVEN: 133608508946015979056827610952718744714 /2
ODD: 66804254473007989528413805476359372357 *3+1
EVEN: 200412763419023968585241416429078117072 /2
EVEN: 100206381709511984292620708214539058536 /2
EVEN: 50103190854755992146310354107269529268 /2
EVEN: 25051595427377996073155177053634764634 /2
ODD: 12525797713688998036577588526817382317 *3+1
EVEN: 37577393141066994109732765580452146952 /2
EVEN: 18788696570533497054866382790226073476 /2
EVEN: 9394348285266748527433191395113036738 /2
ODD: 4697174142633374263716595697556518369 *3+1
EVEN: 14091522427900122791149787092669555108 /2
EVEN: 7045761213950061395574893546334777554 /2
ODD: 3522880606975030697787446773167388777 *3+1
EVEN: 10568641820925092093362340319502166332 /2
EVEN: 5284320910462546046681170159751083166 /2
ODD: 2642160455231273023340585079875541583 *3+1
EVEN: 7926481365693819070021755239626624750 /2
ODD: 3963240682846909535010877619813312375 *3+1
EVEN: 11889722048540728605032632859439937126 /2
ODD: 5944861024270364302516316429719968563 *3+1
EVEN: 17834583072811092907548949289159905690 /2
ODD: 8917291536405546453774474644579952845 *3+1
EVEN: 26751874609216639361323423933739858536 /2
EVEN: 13375937304608319680661711966869929268 /2
EVEN: 6687968652304159840330855983434964634 /2
ODD: 3343984326152079920165427991717482317 *3+1
EVEN: 10031952978456239760496283975152446952 /2
EVEN: 5015976489228119880248141987576223476 /2
EVEN: 2507988244614059940124070993788111738 /2
ODD: 1253994122307029970062035496894055869 *3+1
EVEN: 3761982366921089910186106490682167608 /2
EVEN: 1880991183460544955093053245341083804 /2
EVEN: 940495591730272477546526622670541902 /2
ODD: 470247795865136238773263311335270951 *3+1
EVEN: 1410743387595408716319789934005812854 /2
ODD: 705371693797704358159894967002906427 *3+1
EVEN: 2116115081393113074479684901008719282 /2
ODD: 1058057540696556537239842450504359641 *3+1
EVEN: 3174172622089669611719527351513078924 /2
EVEN: 1587086311044834805859763675756539462 /2
ODD: 793543155522417402929881837878269731 *3+1
EVEN: 2380629466567252208789645513634809194 /2
ODD: 1190314733283626104394822756817404597 *3+1
EVEN: 3570944199850878313184468270452213792 /2
EVEN: 1785472099925439156592234135226106896 /2
EVEN: 892736049962719578296117067613053448 /2
EVEN: 446368024981359789148058533806526724 /2
EVEN: 223184012490679894574029266903263362 /2
ODD: 111592006245339947287014633451631681 *3+1
EVEN: 334776018736019841861043900354895044 /2
EVEN: 167388009368009920930521950177447522 /2
ODD: 83694004684004960465260975088723761 *3+1
EVEN: 251082014052014881395782925266171284 /2
EVEN: 125541007026007440697891462633085642 /2
ODD: 62770503513003720348945731316542821 *3+1
EVEN: 188311510539011161046837193949628464 /2
EVEN: 94155755269505580523418596974814232 /2
EVEN: 47077877634752790261709298487407116 /2
EVEN: 23538938817376395130854649243703558 /2
ODD: 11769469408688197565427324621851779 *3+1
EVEN: 35308408226064592696281973865555338 /2
ODD: 17654204113032296348140986932777669 *3+1
EVEN: 52962612339096889044422960798333008 /2
EVEN: 26481306169548444522211480399166504 /2
EVEN: 13240653084774222261105740199583252 /2
EVEN: 6620326542387111130552870099791626 /2
ODD: 3310163271193555565276435049895813 *3+1
EVEN: 9930489813580666695829305149687440 /2
EVEN: 4965244906790333347914652574843720 /2
EVEN: 2482622453395166673957326287421860 /2
EVEN: 1241311226697583336978663143710930 /2
ODD: 620655613348791668489331571855465 *3+1
EVEN: 1861966840046375005467994715566396 /2
EVEN: 930983420023187502733997357783198 /2
ODD: 465491710011593751366998678891599 *3+1
EVEN: 1396475130034781254100996036674798 /2
ODD: 698237565017390627050498018337399 *3+1
EVEN: 2094712695052171881151494055012198 /2
ODD: 1047356347526085940575747027506099 *3+1
EVEN: 3142069042578257821727241082518298 /2
ODD: 1571034521289128910863620541259149 *3+1
EVEN: 4713103563867386732590861623777448 /2
EVEN: 2356551781933693366295430811888724 /2
EVEN: 1178275890966846683147715405944362 /2
ODD: 589137945483423341573857702972181 *3+1
EVEN: 1767413836450270024721573108916544 /2
EVEN: 883706918225135012360786554458272 /2
EVEN: 441853459112567506180393277229136 /2
EVEN: 220926729556283753090196638614568 /2
EVEN: 110463364778141876545098319307284 /2
EVEN: 55231682389070938272549159653642 /2
ODD: 27615841194535469136274579826821 *3+1
EVEN: 82847523583606407408823739480464 /2
EVEN: 41423761791803203704411869740232 /2
EVEN: 20711880895901601852205934870116 /2
EVEN: 10355940447950800926102967435058 /2
ODD: 5177970223975400463051483717529 *3+1
EVEN: 15533910671926201389154451152588 /2
EVEN: 7766955335963100694577225576294 /2
ODD: 3883477667981550347288612788147 *3+1
EVEN: 11650433003944651041865838364442 /2
ODD: 5825216501972325520932919182221 *3+1
EVEN: 17475649505916976562798757546664 /2
EVEN: 8737824752958488281399378773332 /2
EVEN: 4368912376479244140699689386666 /2
ODD: 2184456188239622070349844693333 *3+1
EVEN: 6553368564718866211049534080000 /2
EVEN: 3276684282359433105524767040000 /2
EVEN: 1638342141179716552762383520000 /2
EVEN: 819171070589858276381191760000 /2
EVEN: 409585535294929138190595880000 /2
EVEN: 204792767647464569095297940000 /2
EVEN: 102396383823732284547648970000 /2
EVEN: 51198191911866142273824485000 /2
EVEN: 25599095955933071136912242500 /2
EVEN: 12799547977966535568456121250 /2
ODD: 6399773988983267784228060625 *3+1
EVEN: 19199321966949803352684181876 /2
EVEN: 9599660983474901676342090938 /2
ODD: 4799830491737450838171045469 *3+1
EVEN: 14399491475212352514513136408 /2
EVEN: 7199745737606176257256568204 /2
EVEN: 3599872868803088128628284102 /2
ODD: 1799936434401544064314142051 *3+1
EVEN: 5399809303204632192942426154 /2
ODD: 2699904651602316096471213077 *3+1
EVEN: 8099713954806948289413639232 /2
EVEN: 4049856977403474144706819616 /2
EVEN: 2024928488701737072353409808 /2
EVEN: 1012464244350868536176704904 /2
EVEN: 506232122175434268088352452 /2
EVEN: 253116061087717134044176226 /2
ODD: 126558030543858567022088113 *3+1
EVEN: 379674091631575701066264340 /2
EVEN: 189837045815787850533132170 /2
ODD: 94918522907893925266566085 *3+1
EVEN: 284755568723681775799698256 /2
EVEN: 142377784361840887899849128 /2
EVEN: 71188892180920443949924564 /2
EVEN: 35594446090460221974962282 /2
ODD: 17797223045230110987481141 *3+1
EVEN: 53391669135690332962443424 /2
EVEN: 26695834567845166481221712 /2
EVEN: 13347917283922583240610856 /2
EVEN: 6673958641961291620305428 /2
EVEN: 3336979320980645810152714 /2
ODD: 1668489660490322905076357 *3+1
EVEN: 5005468981470968715229072 /2
EVEN: 2502734490735484357614536 /2
EVEN: 1251367245367742178807268 /2
EVEN: 625683622683871089403634 /2
ODD: 312841811341935544701817 *3+1
EVEN: 938525434025806634105452 /2
EVEN: 469262717012903317052726 /2
ODD: 234631358506451658526363 *3+1
EVEN: 703894075519354975579090 /2
ODD: 351947037759677487789545 *3+1
EVEN: 1055841113279032463368636 /2
EVEN: 527920556639516231684318 /2
ODD: 263960278319758115842159 *3+1
EVEN: 791880834959274347526478 /2
ODD: 395940417479637173763239 *3+1
EVEN: 1187821252438911521289718 /2
ODD: 593910626219455760644859 *3+1
EVEN: 1781731878658367281934578 /2
ODD: 890865939329183640967289 *3+1
EVEN: 2672597817987550922901868 /2
EVEN: 1336298908993775461450934 /2
ODD: 668149454496887730725467 *3+1
EVEN: 2004448363490663192176402 /2
ODD: 1002224181745331596088201 *3+1
EVEN: 3006672545235994788264604 /2
EVEN: 1503336272617997394132302 /2
ODD: 751668136308998697066151 *3+1
EVEN: 2255004408926996091198454 /2
ODD: 1127502204463498045599227 *3+1
EVEN: 3382506613390494136797682 /2
ODD: 1691253306695247068398841 *3+1
EVEN: 5073759920085741205196524 /2
EVEN: 2536879960042870602598262 /2
ODD: 1268439980021435301299131 *3+1
EVEN: 3805319940064305903897394 /2
ODD: 1902659970032152951948697 *3+1
EVEN: 5707979910096458855846092 /2
EVEN: 2853989955048229427923046 /2
ODD: 1426994977524114713961523 *3+1
EVEN: 4280984932572344141884570 /2
ODD: 2140492466286172070942285 *3+1
EVEN: 6421477398858516212826856 /2
EVEN: 3210738699429258106413428 /2
EVEN: 1605369349714629053206714 /2
ODD: 802684674857314526603357 *3+1
EVEN: 2408054024571943579810072 /2
EVEN: 1204027012285971789905036 /2
EVEN: 602013506142985894952518 /2
ODD: 301006753071492947476259 *3+1
EVEN: 903020259214478842428778 /2
ODD: 451510129607239421214389 *3+1
EVEN: 1354530388821718263643168 /2
EVEN: 677265194410859131821584 /2
EVEN: 338632597205429565910792 /2
EVEN: 169316298602714782955396 /2
EVEN: 84658149301357391477698 /2
ODD: 42329074650678695738849 *3+1
EVEN: 126987223952036087216548 /2
EVEN: 63493611976018043608274 /2
ODD: 31746805988009021804137 *3+1
EVEN: 95240417964027065412412 /2
EVEN: 47620208982013532706206 /2
ODD: 23810104491006766353103 *3+1
EVEN: 71430313473020299059310 /2
ODD: 35715156736510149529655 *3+1
EVEN: 107145470209530448588966 /2
ODD: 53572735104765224294483 *3+1
EVEN: 160718205314295672883450 /2
ODD: 80359102657147836441725 *3+1
EVEN: 241077307971443509325176 /2
EVEN: 120538653985721754662588 /2
EVEN: 60269326992860877331294 /2
ODD: 30134663496430438665647 *3+1
EVEN: 90403990489291315996942 /2
ODD: 45201995244645657998471 *3+1
EVEN: 135605985733936973995414 /2
ODD: 67802992866968486997707 *3+1
EVEN: 203408978600905460993122 /2
ODD: 101704489300452730496561 *3+1
EVEN: 305113467901358191489684 /2
EVEN: 152556733950679095744842 /2
ODD: 76278366975339547872421 *3+1
EVEN: 228835100926018643617264 /2
EVEN: 114417550463009321808632 /2
EVEN: 57208775231504660904316 /2
EVEN: 28604387615752330452158 /2
ODD: 14302193807876165226079 *3+1
EVEN: 42906581423628495678238 /2
ODD: 21453290711814247839119 *3+1
EVEN: 64359872135442743517358 /2
ODD: 32179936067721371758679 *3+1
EVEN: 96539808203164115276038 /2
ODD: 48269904101582057638019 *3+1
EVEN: 144809712304746172914058 /2
ODD: 72404856152373086457029 *3+1
EVEN: 217214568457119259371088 /2
EVEN: 108607284228559629685544 /2
EVEN: 54303642114279814842772 /2
EVEN: 27151821057139907421386 /2
ODD: 13575910528569953710693 *3+1
EVEN: 40727731585709861132080 /2
EVEN: 20363865792854930566040 /2
EVEN: 10181932896427465283020 /2
EVEN: 5090966448213732641510 /2
ODD: 2545483224106866320755 *3+1
EVEN: 7636449672320598962266 /2
ODD: 3818224836160299481133 *3+1
EVEN: 11454674508480898443400 /2
EVEN: 5727337254240449221700 /2
EVEN: 2863668627120224610850 /2
ODD: 1431834313560112305425 *3+1
EVEN: 4295502940680336916276 /2
EVEN: 2147751470340168458138 /2
ODD: 1073875735170084229069 *3+1
EVEN: 3221627205510252687208 /2
EVEN: 1610813602755126343604 /2
EVEN: 805406801377563171802 /2
ODD: 402703400688781585901 *3+1
EVEN: 1208110202066344757704 /2
EVEN: 604055101033172378852 /2
EVEN: 302027550516586189426 /2
ODD: 151013775258293094713 *3+1
EVEN: 453041325774879284140 /2
EVEN: 226520662887439642070 /2
ODD: 113260331443719821035 *3+1
EVEN: 339780994331159463106 /2
ODD: 169890497165579731553 *3+1
EVEN: 509671491496739194660 /2
EVEN: 254835745748369597330 /2
ODD: 127417872874184798665 *3+1
EVEN: 382253618622554395996 /2
EVEN: 191126809311277197998 /2
ODD: 95563404655638598999 *3+1
EVEN: 286690213966915796998 /2
ODD: 143345106983457898499 *3+1
EVEN: 430035320950373695498 /2
ODD: 215017660475186847749 *3+1
EVEN: 645052981425560543248 /2
EVEN: 322526490712780271624 /2
EVEN: 161263245356390135812 /2
EVEN: 80631622678195067906 /2
ODD: 40315811339097533953 *3+1
EVEN: 120947434017292601860 /2
EVEN: 60473717008646300930 /2
ODD: 30236858504323150465 *3+1
EVEN: 90710575512969451396 /2
EVEN: 45355287756484725698 /2
ODD: 22677643878242362849 *3+1
EVEN: 68032931634727088548 /2
EVEN: 34016465817363544274 /2
ODD: 17008232908681772137 *3+1
EVEN: 51024698726045316412 /2
EVEN: 25512349363022658206 /2
ODD: 12756174681511329103 *3+1
EVEN: 38268524044533987310 /2
ODD: 19134262022266993655 *3+1
EVEN: 57402786066800980966 /2
ODD: 28701393033400490483 *3+1
EVEN: 86104179100201471450 /2
ODD: 43052089550100735725 *3+1
EVEN: 129156268650302207176 /2
EVEN: 64578134325151103588 /2
EVEN: 32289067162575551794 /2
ODD: 16144533581287775897 *3+1
EVEN: 48433600743863327692 /2
EVEN: 24216800371931663846 /2
ODD: 12108400185965831923 *3+1
EVEN: 36325200557897495770 /2
ODD: 18162600278948747885 *3+1
EVEN: 54487800836846243656 /2
EVEN: 27243900418423121828 /2
EVEN: 13621950209211560914 /2
ODD: 6810975104605780457 *3+1
EVEN: 20432925313817341372 /2
EVEN: 10216462656908670686 /2
ODD: 5108231328454335343 *3+1
EVEN: 15324693985363006030 /2
ODD: 7662346992681503015 *3+1
EVEN: 22987040978044509046 /2
ODD: 11493520489022254523 *3+1
EVEN: 34480561467066763570 /2
ODD: 17240280733533381785 *3+1
EVEN: 51720842200600145356 /2
EVEN: 25860421100300072678 /2
ODD: 12930210550150036339 *3+1
EVEN: 38790631650450109018 /2
ODD: 19395315825225054509 *3+1
EVEN: 58185947475675163528 /2
EVEN: 29092973737837581764 /2
EVEN: 14546486868918790882 /2
ODD: 7273243434459395441 *3+1
EVEN: 21819730303378186324 /2
EVEN: 10909865151689093162 /2
ODD: 5454932575844546581 *3+1
EVEN: 16364797727533639744 /2
EVEN: 8182398863766819872 /2
EVEN: 4091199431883409936 /2
EVEN: 2045599715941704968 /2
EVEN: 1022799857970852484 /2
EVEN: 511399928985426242 /2
ODD: 255699964492713121 *3+1
EVEN: 767099893478139364 /2
EVEN: 383549946739069682 /2
ODD: 191774973369534841 *3+1
EVEN: 575324920108604524 /2
EVEN: 287662460054302262 /2
ODD: 143831230027151131 *3+1
EVEN: 431493690081453394 /2
ODD: 215746845040726697 *3+1
EVEN: 647240535122180092 /2
EVEN: 323620267561090046 /2
ODD: 161810133780545023 *3+1
EVEN: 485430401341635070 /2
ODD: 242715200670817535 *3+1
EVEN: 728145602012452606 /2
ODD: 364072801006226303 *3+1
EVEN: 1092218403018678910 /2
ODD: 546109201509339455 *3+1
EVEN: 1638327604528018366 /2
ODD: 819163802264009183 *3+1
EVEN: 2457491406792027550 /2
ODD: 1228745703396013775 *3+1
EVEN: 3686237110188041326 /2
ODD: 1843118555094020663 *3+1
EVEN: 5529355665282061990 /2
ODD: 2764677832641030995 *3+1
EVEN: 8294033497923092986 /2
ODD: 4147016748961546493 *3+1
EVEN: 12441050246884639480 /2
EVEN: 6220525123442319740 /2
EVEN: 3110262561721159870 /2
ODD: 1555131280860579935 *3+1
EVEN: 4665393842581739806 /2
ODD: 2332696921290869903 *3+1
EVEN: 6998090763872609710 /2
ODD: 3499045381936304855 *3+1
EVEN: 10497136145808914566 /2
ODD: 5248568072904457283 *3+1
EVEN: 15745704218713371850 /2
ODD: 7872852109356685925 *3+1
EVEN: 23618556328070057776 /2
EVEN: 11809278164035028888 /2
EVEN: 5904639082017514444 /2
EVEN: 2952319541008757222 /2
ODD: 1476159770504378611 *3+1
EVEN: 4428479311513135834 /2
ODD: 2214239655756567917 *3+1
EVEN: 6642718967269703752 /2
EVEN: 3321359483634851876 /2
EVEN: 1660679741817425938 /2
ODD: 830339870908712969 *3+1
EVEN: 2491019612726138908 /2
EVEN: 1245509806363069454 /2
ODD: 622754903181534727 *3+1
EVEN: 1868264709544604182 /2
ODD: 934132354772302091 *3+1
EVEN: 2802397064316906274 /2
ODD: 1401198532158453137 *3+1
EVEN: 4203595596475359412 /2
EVEN: 2101797798237679706 /2
ODD: 1050898899118839853 *3+1
EVEN: 3152696697356519560 /2
EVEN: 1576348348678259780 /2
EVEN: 788174174339129890 /2
ODD: 394087087169564945 *3+1
EVEN: 1182261261508694836 /2
EVEN: 591130630754347418 /2
ODD: 295565315377173709 *3+1
EVEN: 886695946131521128 /2
EVEN: 443347973065760564 /2
EVEN: 221673986532880282 /2
ODD: 110836993266440141 *3+1
EVEN: 332510979799320424 /2
EVEN: 166255489899660212 /2
EVEN: 83127744949830106 /2
ODD: 41563872474915053 *3+1
EVEN: 124691617424745160 /2
EVEN: 62345808712372580 /2
EVEN: 31172904356186290 /2
ODD: 15586452178093145 *3+1
EVEN: 46759356534279436 /2
EVEN: 23379678267139718 /2
ODD: 11689839133569859 *3+1
EVEN: 35069517400709578 /2
ODD: 17534758700354789 *3+1
EVEN: 52604276101064368 /2
EVEN: 26302138050532184 /2
EVEN: 13151069025266092 /2
EVEN: 6575534512633046 /2
ODD: 3287767256316523 *3+1
EVEN: 9863301768949570 /2
ODD: 4931650884474785 *3+1
EVEN: 14794952653424356 /2
EVEN: 7397476326712178 /2
ODD: 3698738163356089 *3+1
EVEN: 11096214490068268 /2
EVEN: 5548107245034134 /2
ODD: 2774053622517067 *3+1
EVEN: 8322160867551202 /2
ODD: 4161080433775601 *3+1
EVEN: 12483241301326804 /2
EVEN: 6241620650663402 /2
ODD: 3120810325331701 *3+1
EVEN: 9362430975995104 /2
EVEN: 4681215487997552 /2
EVEN: 2340607743998776 /2
EVEN: 1170303871999388 /2
EVEN: 585151935999694 /2
ODD: 292575967999847 *3+1
EVEN: 877727903999542 /2
ODD: 438863951999771 *3+1
EVEN: 1316591855999314 /2
ODD: 658295927999657 *3+1
EVEN: 1974887783998972 /2
EVEN: 987443891999486 /2
ODD: 493721945999743 *3+1
EVEN: 1481165837999230 /2
ODD: 740582918999615 *3+1
EVEN: 2221748756998846 /2
ODD: 1110874378499423 *3+1
EVEN: 3332623135498270 /2
ODD: 1666311567749135 *3+1
EVEN: 4998934703247406 /2
ODD: 2499467351623703 *3+1
EVEN: 7498402054871110 /2
ODD: 3749201027435555 *3+1
EVEN: 11247603082306666 /2
ODD: 5623801541153333 *3+1
EVEN: 16871404623460000 /2
EVEN: 8435702311730000 /2
EVEN: 4217851155865000 /2
EVEN: 2108925577932500 /2
EVEN: 1054462788966250 /2
ODD: 527231394483125 *3+1
EVEN: 1581694183449376 /2
EVEN: 790847091724688 /2
EVEN: 395423545862344 /2
EVEN: 197711772931172 /2
EVEN: 98855886465586 /2
ODD: 49427943232793 *3+1
EVEN: 148283829698380 /2
EVEN: 74141914849190 /2
ODD: 37070957424595 *3+1
EVEN: 111212872273786 /2
ODD: 55606436136893 *3+1
EVEN: 166819308410680 /2
EVEN: 83409654205340 /2
EVEN: 41704827102670 /2
ODD: 20852413551335 *3+1
EVEN: 62557240654006 /2
ODD: 31278620327003 *3+1
EVEN: 93835860981010 /2
ODD: 46917930490505 *3+1
EVEN: 140753791471516 /2
EVEN: 70376895735758 /2
ODD: 35188447867879 *3+1
EVEN: 105565343603638 /2
ODD: 52782671801819 *3+1
EVEN: 158348015405458 /2
ODD: 79174007702729 *3+1
EVEN: 237522023108188 /2
EVEN: 118761011554094 /2
ODD: 59380505777047 *3+1
EVEN: 178141517331142 /2
ODD: 89070758665571 *3+1
EVEN: 267212275996714 /2
ODD: 133606137998357 *3+1
EVEN: 400818413995072 /2
EVEN: 200409206997536 /2
EVEN: 100204603498768 /2
EVEN: 50102301749384 /2
EVEN: 25051150874692 /2
EVEN: 12525575437346 /2
ODD: 6262787718673 *3+1
EVEN: 18788363156020 /2
EVEN: 9394181578010 /2
ODD: 4697090789005 *3+1
EVEN: 14091272367016 /2
EVEN: 7045636183508 /2
EVEN: 3522818091754 /2
ODD: 1761409045877 *3+1
EVEN: 5284227137632 /2
EVEN: 2642113568816 /2
EVEN: 1321056784408 /2
EVEN: 660528392204 /2
EVEN: 330264196102 /2
ODD: 165132098051 *3+1
EVEN: 495396294154 /2
ODD: 247698147077 *3+1
EVEN: 743094441232 /2
EVEN: 371547220616 /2
EVEN: 185773610308 /2
EVEN: 92886805154 /2
